| objective_b9b59_00452 | TERMINATED | 10.203.25.110:558722 |   1 |   8 |   3 |      1 |          15.906  | 337764    |
| objective_b9b59_00453 | TERMINATED | 10.203.25.110:558702 |   2 |   8 |   3 |      1 |          16.0097 | 231811    |
| objective_b9b59_00454 | TERMINATED | 10.203.25.110:558718 |   3 |   8 |   3 |      1 |          16.1087 | 207951    |
| objective_b9b59_00455 | TERMINATED | 10.203.25.110:558728 |   4 |   8 |   3 |      1 |          16.3876 | 249565    |
| objective_b9b59_00456 | TERMINATED | 10.203.25.110:558720 |   5 |   8 |   3 |      1 |          15.6136 | 113649    |
| objective_b9b59_00457 | TERMINATED | 10.203.25.110:558710 |   6 |   8 |   3 |      1 |          15.4324 | 148789    |
| objective_b9b59_00458 | TERMINATED | 10.203.25.110:558729 |   7 |   8 |   3 |      1 |          15.668  |  90005.8  |
| objective_b9b59_00459 | TERMINATED | 10.203.25.110:558714 |   8 |   8 |   3 |      1 |          14.883  |  81236.4  |
| objective_b9b59_00460 | TERMINATED | 10.203.25.110:558704 |   9 |   8 |   3 |      1 |          15.3324 |  72699.9  |
| objective_b9b59_00461 | TERMINATED | 10.203.25.110:558712 |  10 |   8 |   3 |      1 |          15.9246 |  57196.1  |
| objective_b9b59_00462 | TERMINATED | 10.203.25.110:558724 |   0 |   9 |   3 |      1 |          15.7228 | 290713    |
| objective_b9b59_00463 | TERMINATED | 10.203.25.110:558708 |   1 |   9 |   3 |      1 |          15.3022 | 339508    |
| objective_b9b59_00464 | TERMINATED | 10.203.25.110:558706 |   2 |   9 |   3 |      1 |          15.9032 | 320155    |
| objective_b9b59_00465 | TERMINATED | 10.203.25.110:558565 |   3 |   9 |   3 |      1 |          15.3959 | 150323    |
| objective_b9b59_00466 | TERMINATED | 10.203.25.110:558725 |   4 |   9 |   3 |      1 |          15.3208 | 294335    |
| objective_b9b59_00467 | TERMINATED | 10.203.25.110:558716 |   5 |   9 |   3 |      1 |          15.1989 | 154955    |
| objective_b9b59_00468 | TERMINATED | 10.203.25.110:558714 |   6 |   9 |   3 |      1 |          15.5818 | 146372    |
| objective_b9b59_00469 | TERMINATED | 10.203.25.110:558722 |   7 |   9 |   3 |      1 |          15.6533 | 124397    |
| objective_b9b59_00470 | TERMINATED | 10.203.25.110:558702 |   8 |   9 |   3 |      1 |          15.5615 | 110100    |
| objective_b9b59_00471 | TERMINATED | 10.203.25.110:558710 |   9 |   9 |   3 |      1 |          15.7603 |  86949.3  |
| objective_b9b59_00472 | TERMINATED | 10.203.25.110:558720 |  10 |   9 |   3 |      1 |          15.5099 |  67215.3  |
| objective_b9b59_00473 | TERMINATED | 10.203.25.110:558718 |   0 |  10 |   3 |      1 |          16.6537 | 283208    |
| objective_b9b59_00474 | TERMINATED | 10.203.25.110:558729 |   1 |  10 |   3 |      1 |          15.5847 | 341949    |
| objective_b9b59_00475 | TERMINATED | 10.203.25.110:558728 |   2 |  10 |   3 |      1 |          15.588  | 416314    |
| objective_b9b59_00476 | TERMINATED | 10.203.25.110:558704 |   3 |  10 |   3 |      1 |          15.845  | 150603    |
| objective_b9b59_00477 | TERMINATED | 10.203.25.110:558712 |   4 |  10 |   3 |      1 |          15.0673 | 326342    |
| objective_b9b59_00478 | TERMINATED | 10.203.25.110:558724 |   5 |  10 |   3 |      1 |          15.2948 | 217726    |
| objective_b9b59_00479 | TERMINATED | 10.203.25.110:558708 |   6 |  10 |   3 |      1 |          15.4584 | 179949    |
| objective_b9b59_00480 | TERMINATED | 10.203.25.110:558565 |   7 |  10 |   3 |      1 |          15.9751 | 235306    |
| objective_b9b59_00481 | TERMINATED | 10.203.25.110:558706 |   8 |  10 |   3 |      1 |          16.3618 | 120708    |
| objective_b9b59_00482 | TERMINATED | 10.203.25.110:558716 |   9 |  10 |   3 |      1 |          15.2007 | 122661    |
| objective_b9b59_00483 | TERMINATED | 10.203.25.110:558725 |  10 |  10 |   3 |      1 |          15.9395 |  76230    |
| objective_b9b59_00484 | TERMINATED | 10.203.25.110:558714 |   0 |   0 |   4 |      1 |          15.7026 |   3441.53 |
| objective_b9b59_00485 | TERMINATED | 10.203.25.110:558702 |   1 |   0 |   4 |      1 |          15.6159 |   3567.36 |
| objective_b9b59_00486 | TERMINATED | 10.203.25.110:558720 |   2 |   0 |   4 |      1 |          15.6399 |   5295.27 |
